clip_name,num_frames,num_valid_frames,skipped_frames,output_path
clip_1_0_cropped,189,189,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_0_cropped.npy
clip_1_10_cropped,184,184,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_10_cropped.npy
clip_1_11_cropped,126,126,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_11_cropped.npy
clip_1_12_cropped,134,134,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_12_cropped.npy
clip_1_13_cropped,155,155,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_13_cropped.npy
clip_1_14_cropped,136,136,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_14_cropped.npy
clip_1_15_cropped,250,250,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_15_cropped.npy
clip_1_16_cropped,16,16,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_16_cropped.npy
clip_1_17_cropped,250,250,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_17_cropped.npy
clip_1_18_cropped,79,79,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_18_cropped.npy
clip_1_19_cropped,183,183,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_19_cropped.npy
clip_1_1_cropped,140,140,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_1_cropped.npy
clip_1_20_cropped,178,178,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_20_cropped.npy
clip_1_21_cropped,159,159,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_21_cropped.npy
clip_1_22_cropped,171,171,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_22_cropped.npy
clip_1_23_cropped,230,230,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_23_cropped.npy
clip_1_2_cropped,149,149,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_2_cropped.npy
clip_1_3_cropped,178,178,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_3_cropped.npy
clip_1_4_cropped,149,149,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_4_cropped.npy
clip_1_5_cropped,198,198,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_5_cropped.npy
clip_1_6_cropped,222,222,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_6_cropped.npy
clip_1_7_cropped,130,130,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_7_cropped.npy
clip_1_8_cropped,135,135,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_8_cropped.npy
clip_1_9_cropped,235,235,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_1_9_cropped.npy
clip_2_0_cropped,189,189,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_0_cropped.npy
clip_2_10_cropped,184,184,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_10_cropped.npy
clip_2_12_cropped,134,134,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_12_cropped.npy
clip_2_13_cropped,155,155,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_13_cropped.npy
clip_2_14_cropped,135,135,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_14_cropped.npy
clip_2_15_cropped,250,250,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_15_cropped.npy
clip_2_16_cropped,16,16,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_16_cropped.npy
clip_2_21_cropped,159,159,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_21_cropped.npy
clip_2_23_cropped,216,216,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_23_cropped.npy
clip_2_5_cropped,197,197,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_5_cropped.npy
clip_2_7_cropped,130,130,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos1/listener/clip_2_7_cropped.npy
clip_1_10_cropped,184,184,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_10_cropped.npy
clip_1_11_cropped,126,126,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_11_cropped.npy
clip_1_12_cropped,134,134,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_12_cropped.npy
clip_1_13_cropped,152,152,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_13_cropped.npy
clip_1_15_cropped,250,250,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_15_cropped.npy
clip_1_16_cropped,16,16,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_16_cropped.npy
clip_1_17_cropped,250,250,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_17_cropped.npy
clip_1_18_cropped,79,79,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_18_cropped.npy
clip_1_19_cropped,183,183,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_19_cropped.npy
clip_1_1_cropped,140,140,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_1_cropped.npy
clip_1_20_cropped,178,178,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_20_cropped.npy
clip_1_21_cropped,159,159,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_21_cropped.npy
clip_1_22_cropped,149,149,0,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/stacked_npy/test/recording08/subjectPos2/speaker/clip_1_22_cropped.npy
